dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000013,0.275000,0.000199,0.019949,0.997446,49.872305,6.283139
0.020000,0.000008,0.275000,0.000205,0.000252,-0.984855,-99.115050,6.283157
0.020000,0.000372,0.275000,0.000569,0.018215,0.898145,94.150003,0.000009
0.020000,0.002751,0.275000,0.002948,0.118941,5.036329,206.909172,0.000063
0.020000,0.005923,0.275000,0.006119,0.158592,1.982544,-152.689234,0.000136
0.020000,0.009888,0.275001,0.010084,0.198246,1.982706,0.008097,0.000226
0.020000,0.014646,0.275002,0.014843,0.237904,1.982908,0.010121,0.000334
0.020000,0.020197,0.275005,0.020394,0.277567,1.983151,0.012146,0.000459
0.020000,0.026542,0.275008,0.026739,0.317236,1.983435,0.014170,0.000601
0.020000,0.033680,0.275013,0.033877,0.356911,1.983758,0.016193,0.000758
0.020000,0.041612,0.275020,0.041809,0.396594,1.984123,0.018221,0.000932
0.020000,0.050338,0.275029,0.050534,0.436284,1.984528,0.020242,0.001120
0.020000,0.059857,0.275040,0.060054,0.475984,1.984973,0.022269,0.001323
0.020000,0.070171,0.275055,0.070368,0.515693,1.985459,0.024292,0.001540
0.020000,0.081279,0.275073,0.081476,0.555413,1.985985,0.026318,0.001770
0.020000,0.093182,0.275096,0.093379,0.595144,1.986552,0.028341,0.002011
0.020000,0.105880,0.275123,0.106077,0.634887,1.987160,0.030370,0.002264
0.020000,0.119373,0.275155,0.119570,0.674643,1.987807,0.032385,0.002528
0.020000,0.133661,0.275193,0.133858,0.714413,1.988496,0.034418,0.002800
0.020000,0.148745,0.275238,0.148942,0.754197,1.989224,0.036443,0.003081
0.020000,0.164625,0.275289,0.164822,0.793997,1.989994,0.038462,0.003369
0.020000,0.181301,0.275348,0.181498,0.833813,1.990803,0.040490,0.003663
0.020000,0.198774,0.275414,0.198971,0.873646,1.991654,0.042510,0.003961
0.020000,0.217043,0.275489,0.217241,0.913497,1.992544,0.044532,0.004264
0.020000,0.236111,0.275574,0.236308,0.953367,1.993476,0.046572,0.004568
0.020000,0.255975,0.275667,0.256173,0.993256,1.994447,0.048572,0.004872
0.020000,0.276638,0.275771,0.276837,1.033165,1.995459,0.050607,0.005176
0.020000,0.298100,0.275886,0.298299,1.073095,1.996512,0.052641,0.005478
0.020000,0.320361,0.276011,0.320560,1.113047,1.997605,0.054638,0.005775
0.020000,0.343421,0.276147,0.343620,1.153022,1.998738,0.056678,0.006068
0.020000,0.367281,0.276296,0.367480,1.193020,1.999913,0.058705,0.006352
0.020000,0.391941,0.276456,0.392141,1.233043,2.001127,0.060714,0.006628
0.020000,0.417402,0.276628,0.417603,1.273091,2.002382,0.062749,0.006893
0.020000,0.443665,0.276812,0.443866,1.313164,2.003677,0.064753,0.007145
0.020000,0.470729,0.277009,0.470932,1.353264,2.005013,0.066797,0.007382
0.020000,0.498596,0.277218,0.498799,1.393392,2.006389,0.068800,0.007602
0.020000,0.527267,0.277439,0.527470,1.433548,2.007806,0.070840,0.007804
0.020000,0.556740,0.277671,0.556945,1.473733,2.009263,0.072854,0.007985
0.020000,0.587018,0.277916,0.587224,1.513949,2.010760,0.074872,0.008143
0.020000,0.618101,0.278171,0.618308,1.554195,2.012298,0.076907,0.008275
0.020000,0.649990,0.278437,0.650197,1.594472,2.013877,0.078925,0.008380
0.020000,0.682684,0.278712,0.682893,1.634782,2.015496,0.080946,0.008455
0.020000,0.716185,0.278996,0.716396,1.675125,2.017155,0.082980,0.008497
0.020000,0.750494,0.279288,0.750706,1.715502,2.018855,0.085001,0.008505
0.020000,0.785611,0.279586,0.785824,1.755914,2.020596,0.087029,0.008475
0.020000,0.821537,0.279889,0.821751,1.796362,2.022377,0.089058,0.008406
0.020000,0.858273,0.280196,0.858488,1.836846,2.024199,0.091084,0.008293
0.020000,0.895819,0.280505,0.896035,1.877367,2.026061,0.093117,0.008136
0.020000,0.934176,0.280813,0.934394,1.917926,2.027964,0.095142,0.007930
0.020000,0.973345,0.281119,0.973564,1.958524,2.029908,0.097186,0.007673
0.020000,1.013327,0.281419,1.013548,1.999162,2.031892,0.099199,0.007362
0.020000,1.054123,0.281713,1.054344,2.039841,2.033916,0.101239,0.006995
0.020000,1.095533,0.281994,1.095756,2.070556,1.535760,-24.907817,0.006570
0.020000,1.137065,0.282257,1.137288,2.076621,0.303283,-61.623830,0.006092
0.020000,1.178224,0.282497,1.178448,2.058003,-0.930911,-61.709737,0.005565
0.020000,1.218704,0.282711,1.218928,2.024004,-1.699985,-38.453677,0.004997
0.020000,1.258396,0.282897,1.258621,1.984620,-1.969174,-13.459443,0.004392
0.020000,1.297299,0.283056,1.297524,1.945196,-1.971179,-0.100260,0.003752
0.020000,1.335414,0.283186,1.335639,1.905734,-1.973143,-0.098229,0.003080
0.020000,1.372738,0.283288,1.372964,1.866232,-1.975068,-0.096231,0.002379
0.020000,1.409272,0.283362,1.409498,1.826693,-1.976952,-0.094206,0.001653
0.020000,1.445015,0.283408,1.445240,1.787117,-1.978796,-0.092202,0.000903
0.020000,1.479965,0.283426,1.480190,1.747505,-1.980600,-0.090181,0.000132
0.020000,1.514122,0.283417,1.514347,1.707858,-1.982363,-0.088167,6.282528
0.020000,1.547485,0.283382,1.547711,1.668176,-1.984086,-0.086150,6.281724
0.020000,1.580054,0.283321,1.580280,1.628461,-1.985769,-0.084133,6.280906
0.020000,1.611829,0.283235,1.612054,1.588713,-1.987411,-0.082108,6.280077
0.020000,1.642807,0.283126,1.643033,1.548932,-1.989013,-0.080104,6.279240
0.020000,1.672989,0.282994,1.673215,1.509121,-1.990574,-0.078063,6.278396
0.020000,1.702374,0.282841,1.702601,1.469279,-1.992095,-0.076042,6.277548
0.020000,1.730962,0.282668,1.731189,1.429408,-1.993576,-0.074017,6.276698
0.020000,1.758751,0.282476,1.758979,1.389507,-1.995016,-0.072002,6.275849
0.020000,1.785742,0.282267,1.785971,1.349579,-1.996415,-0.069955,6.275002
0.020000,1.811934,0.282041,1.812163,1.309623,-1.997774,-0.067943,6.274159
0.020000,1.837325,0.281802,1.837556,1.269642,-1.999091,-0.065883,6.273322
0.020000,1.861917,0.281549,1.862149,1.229634,-2.000369,-0.063888,6.272493
0.020000,1.885707,0.281285,1.885941,1.189602,-2.001606,-0.061832,6.271673
0.020000,1.908697,0.281011,1.908932,1.149546,-2.002801,-0.059790,6.270866
0.020000,1.930884,0.280729,1.931121,1.109467,-2.003957,-0.057773,6.270071
0.020000,1.952270,0.280440,1.952508,1.069366,-2.005071,-0.055695,6.269291
0.020000,1.972852,0.280146,1.973093,1.029243,-2.006146,-0.053774,6.268528
0.020000,1.992632,0.279849,1.992875,0.989099,-2.007178,-0.051567,6.267782
0.020000,2.011608,0.279550,2.011854,0.948936,-2.008172,-0.049721,6.267056
0.020000,2.029781,0.279250,2.030029,0.908753,-2.009122,-0.047494,6.266351
0.020000,2.047150,0.278952,2.047400,0.868552,-2.010034,-0.045594,6.265667
0.020000,2.063714,0.278656,2.063967,0.828334,-2.010904,-0.043499,6.265007
0.020000,2.079473,0.278364,2.079729,0.788100,-2.011734,-0.041508,6.264371
0.020000,2.094427,0.278079,2.094686,0.747849,-2.012523,-0.039466,6.263761
0.020000,2.108576,0.277800,2.108837,0.707584,-2.013270,-0.037362,6.263178
0.020000,2.121919,0.277529,2.122183,0.667304,-2.013979,-0.035449,6.262622
0.020000,2.134457,0.277268,2.134724,0.627011,-2.014646,-0.033331,6.262096
0.020000,2.146188,0.277017,2.146458,0.586706,-2.015273,-0.031359,6.261598
0.020000,2.157114,0.276779,2.157386,0.546389,-2.015859,-0.029275,6.261132
0.020000,2.167232,0.276554,2.167507,0.506061,-2.016404,-0.027267,6.260696
0.020000,2.176544,0.276342,2.176821,0.465722,-2.016910,-0.025310,6.260293
0.020000,2.185049,0.276146,2.185329,0.425375,-2.017376,-0.023290,6.259922
0.020000,2.192748,0.275965,2.193029,0.385019,-2.017799,-0.021125,6.259585
0.020000,2.199639,0.275802,2.199922,0.344655,-2.018183,-0.019229,6.259282
0.020000,2.205723,0.275655,2.206008,0.304285,-2.018525,-0.017105,6.259013
0.020000,2.210999,0.275527,2.211286,0.263908,-2.018833,-0.015382,6.258778
0.020000,2.215469,0.275418,2.215757,0.223526,-2.019092,-0.012936,6.258579
0.020000,2.219130,0.275327,2.219419,0.183140,-2.019314,-0.011135,6.258416
0.020000,2.221984,0.275256,2.222274,0.142750,-2.019501,-0.009334,6.258288
0.020000,2.224031,0.275205,2.224322,0.102357,-2.019639,-0.006892,6.258196
0.020000,2.225270,0.275174,2.225561,0.061962,-2.019743,-0.005218,6.258141
0.020000,2.225795,0.275161,2.226086,0.026274,-1.784424,11.765971,6.258117
0.020000,2.225903,0.275159,2.226194,0.005392,-1.044113,37.015537,6.258112
0.020000,2.225903,0.275159,2.226194,0.000000,-0.269579,38.726691,6.258112
