dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000199,0.019949,0.997446,49.872305,6.283139
0.020000,0.000000,0.000000,0.000997,0.059847,1.994892,49.872305,6.283157
0.020000,0.000374,0.000000,0.002593,0.099745,1.994892,0.000000,0.000009
0.020000,0.002768,0.000000,0.004987,0.139642,1.994892,-0.000000,0.000063
0.020000,0.005960,0.000000,0.008179,0.179540,1.994892,0.000000,0.000136
0.020000,0.009950,0.000001,0.012169,0.219438,1.994892,0.000000,0.000226
0.020000,0.014738,0.000002,0.016957,0.259336,1.994892,-0.000000,0.000334
0.020000,0.020323,0.000005,0.022542,0.299234,1.994892,-0.000000,0.000459
0.020000,0.026707,0.000008,0.028926,0.339132,1.994892,0.000000,0.000601
0.020000,0.033889,0.000013,0.036108,0.379030,1.994892,-0.000000,0.000758
0.020000,0.041868,0.000020,0.044087,0.418927,1.994892,0.000000,0.000932
0.020000,0.050646,0.000029,0.052865,0.458825,1.994892,-0.000000,0.001120
0.020000,0.060221,0.000040,0.062440,0.498723,1.994892,0.000000,0.001323
0.020000,0.070595,0.000055,0.072814,0.538621,1.994892,0.000000,0.001540
0.020000,0.081766,0.000074,0.083985,0.578519,1.994892,-0.000000,0.001770
0.020000,0.093735,0.000096,0.095954,0.618417,1.994892,0.000000,0.002011
0.020000,0.106503,0.000124,0.108722,0.658314,1.994892,0.000000,0.002264
0.020000,0.120068,0.000156,0.122287,0.698212,1.994892,0.000000,0.002528
0.020000,0.134431,0.000194,0.136650,0.738110,1.994892,-0.000000,0.002800
0.020000,0.149592,0.000239,0.151811,0.778008,1.994892,0.000000,0.003081
0.020000,0.165551,0.000291,0.167770,0.817906,1.994892,0.000000,0.003369
0.020000,0.182308,0.000349,0.184528,0.857804,1.994892,0.000000,0.003663
0.020000,0.199863,0.000416,0.202083,0.897701,1.994892,0.000000,0.003961
0.020000,0.218216,0.000492,0.220436,0.937599,1.994892,-0.000000,0.004264
0.020000,0.237367,0.000576,0.239587,0.977497,1.994892,0.000000,0.004568
0.020000,0.257315,0.000671,0.259535,1.017395,1.994892,0.000000,0.004872
0.020000,0.278062,0.000775,0.280282,1.057293,1.994892,0.000000,0.005176
0.020000,0.299606,0.000890,0.301827,1.097191,1.994892,0.000000,0.005478
0.020000,0.321949,0.001015,0.324170,1.137089,1.994892,-0.000000,0.005775
0.020000,0.345089,0.001153,0.347311,1.176986,1.994892,0.000000,0.006068
0.020000,0.369028,0.001301,0.371249,1.216884,1.994892,0.000000,0.006352
0.020000,0.393764,0.001462,0.395986,1.256782,1.994892,0.000000,0.006628
0.020000,0.419298,0.001634,0.421521,1.296680,1.994892,0.000000,0.006893
0.020000,0.445630,0.001819,0.447853,1.336578,1.994892,0.000000,0.007145
0.020000,0.472759,0.002016,0.474984,1.376476,1.994892,-0.000000,0.007382
0.020000,0.500687,0.002226,0.502912,1.416373,1.994892,0.000000,0.007602
0.020000,0.529413,0.002447,0.531639,1.456271,1.994892,0.000000,0.007804
0.020000,0.558936,0.002680,0.561163,1.496169,1.994892,0.000000,0.007985
0.020000,0.589258,0.002925,0.591486,1.536067,1.994892,0.000000,0.008143
0.020000,0.620377,0.003180,0.622606,1.575965,1.994892,-0.000000,0.008275
0.020000,0.652294,0.003446,0.654524,1.615863,1.994892,0.000000,0.008380
0.020000,0.685009,0.003722,0.687240,1.655761,1.994892,-0.000000,0.008455
0.020000,0.718522,0.004006,0.720755,1.695658,1.994892,0.000000,0.008497
0.020000,0.752833,0.004298,0.755067,1.735556,1.994892,0.000000,0.008505
0.020000,0.787942,0.004596,0.790177,1.775454,1.994892,0.000000,0.008475
0.020000,0.823849,0.004899,0.826085,1.815352,1.994892,0.000000,0.008406
0.020000,0.860553,0.005206,0.862791,1.855250,1.994892,-0.000000,0.008293
0.020000,0.898056,0.005514,0.900295,1.895148,1.994892,0.000000,0.008136
0.020000,0.936357,0.005822,0.938597,1.935045,1.994892,0.000000,0.007930
0.020000,0.975455,0.006127,0.977697,1.974943,1.994892,0.000000,0.007673
0.020000,1.015352,0.006427,1.017595,2.014841,1.994892,0.000000,0.007362
0.020000,1.056047,0.006719,1.058290,2.054739,1.994892,-0.000000,0.006995
0.020000,1.097340,0.007000,1.099585,2.074688,0.997446,-49.872305,0.006570
0.020000,1.138740,0.007262,1.140985,2.065389,-0.464945,-73.119572,0.006092
0.020000,1.179755,0.007501,1.182001,2.036141,-1.462391,-49.872305,0.005565
0.020000,1.220078,0.007714,1.222325,1.996243,-1.994892,-26.625038,0.004997
0.020000,1.259604,0.007900,1.261850,1.956345,-1.994892,-0.000000,0.004392
0.020000,1.298331,0.008058,1.300578,1.916448,-1.994892,0.000000,0.003752
0.020000,1.336261,0.008187,1.338508,1.876550,-1.994892,0.000000,0.003080
0.020000,1.373393,0.008289,1.375640,1.836652,-1.994892,-0.000000,0.002379
0.020000,1.409727,0.008362,1.411974,1.796754,-1.994892,0.000000,0.001653
0.020000,1.445263,0.008408,1.447510,1.756856,-1.994892,-0.000000,0.000903
0.020000,1.480001,0.008426,1.482249,1.716958,-1.994892,0.000000,0.000132
0.020000,1.513941,0.008417,1.516189,1.677061,-1.994892,-0.000000,6.282528
0.020000,1.547083,0.008382,1.549331,1.637163,-1.994892,0.000000,6.281724
0.020000,1.579428,0.008322,1.581675,1.597265,-1.994892,0.000000,6.280906
0.020000,1.610974,0.008237,1.613222,1.557367,-1.994892,0.000000,6.280077
