dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000013,-0.275000,0.000199,0.019949,0.997446,49.872305,6.283139
0.020000,-0.000008,-0.275000,0.000205,0.000252,-0.984855,-99.115050,6.283157
0.020000,0.000377,-0.275000,0.000589,0.019220,0.948429,96.664196,0.000009
0.020000,0.002786,-0.275000,0.002998,0.120446,5.061268,205.641954,0.000063
0.020000,0.005997,-0.275000,0.006210,0.160591,2.007241,-152.701379,0.000136
0.020000,0.010012,-0.274999,0.010224,0.200732,2.007079,-0.008097,0.000226
0.020000,0.014829,-0.274998,0.015042,0.240870,2.006876,-0.010121,0.000334
0.020000,0.020450,-0.274995,0.020662,0.281002,2.006633,-0.012146,0.000459
0.020000,0.026872,-0.274992,0.027084,0.321129,2.006350,-0.014170,0.000601
0.020000,0.034097,-0.274987,0.034309,0.361250,2.006026,-0.016196,0.000758
0.020000,0.042124,-0.274980,0.042337,0.401363,2.005662,-0.018217,0.000932
0.020000,0.050954,-0.274971,0.051166,0.441468,2.005257,-0.020245,0.001120
0.020000,0.060585,-0.274959,0.060797,0.481564,2.004811,-0.022267,0.001323
0.020000,0.071018,-0.274944,0.071230,0.521651,2.004325,-0.024294,0.001540
0.020000,0.082253,-0.274926,0.082465,0.561727,2.003799,-0.026316,0.001770
0.020000,0.094288,-0.274903,0.094501,0.601792,2.003232,-0.028343,0.002011
0.020000,0.107125,-0.274876,0.107338,0.641844,2.002625,-0.030363,0.002264
0.020000,0.120763,-0.274843,0.120975,0.681884,2.001977,-0.032397,0.002528
0.020000,0.135201,-0.274804,0.135413,0.721909,2.001289,-0.034413,0.002800
0.020000,0.150439,-0.274760,0.150652,0.761921,2.000560,-0.036437,0.003081
0.020000,0.166478,-0.274708,0.166690,0.801916,1.999791,-0.038466,0.003369
0.020000,0.183315,-0.274649,0.183528,0.841896,1.998981,-0.040486,0.003663
0.020000,0.200952,-0.274581,0.201165,0.881859,1.998131,-0.042515,0.003961
0.020000,0.219388,-0.274506,0.219601,0.921803,1.997240,-0.044540,0.004264
0.020000,0.238623,-0.274421,0.238836,0.961730,1.996309,-0.046547,0.004568
0.020000,0.258655,-0.274326,0.258869,1.001636,1.995337,-0.048595,0.004872
0.020000,0.279485,-0.274221,0.279699,1.041523,1.994325,-0.050606,0.005176
0.020000,0.301113,-0.274106,0.301327,1.081388,1.993273,-0.052617,0.005478
0.020000,0.323537,-0.273980,0.323751,1.121232,1.992179,-0.054666,0.005775
0.020000,0.346758,-0.273842,0.346973,1.161053,1.991046,-0.056671,0.006068
0.020000,0.370774,-0.273693,0.370990,1.200850,1.989872,-0.058690,0.006352
0.020000,0.395586,-0.273532,0.395802,1.240623,1.988658,-0.060726,0.006628
0.020000,0.421193,-0.273359,0.421409,1.280371,1.987403,-0.062735,0.006893
0.020000,0.447594,-0.273174,0.447811,1.320094,1.986107,-0.064776,0.007145
0.020000,0.474789,-0.272976,0.475007,1.359789,1.984772,-0.066776,0.007382
0.020000,0.502778,-0.272766,0.502996,1.399457,1.983395,-0.068818,0.007602
0.020000,0.531559,-0.272545,0.531778,1.439097,1.981979,-0.070823,0.007804
0.020000,0.561132,-0.272311,0.561352,1.478707,1.980522,-0.072856,0.007985
0.020000,0.591497,-0.272066,0.591718,1.518287,1.979024,-0.074884,0.008143
0.020000,0.622653,-0.271810,0.622875,1.557837,1.977486,-0.076895,0.008275
0.020000,0.654599,-0.271544,0.654822,1.597355,1.975908,-0.078926,0.008380
0.020000,0.687334,-0.271268,0.687559,1.636841,1.974289,-0.080955,0.008455
0.020000,0.720859,-0.270984,0.721085,1.676294,1.972629,-0.082972,0.008497
0.020000,0.755172,-0.270692,0.755399,1.715712,1.970929,-0.085004,0.008505
0.020000,0.790273,-0.270394,0.790501,1.755096,1.969189,-0.087030,0.008475
0.020000,0.826160,-0.270091,0.826390,1.794444,1.967407,-0.089057,0.008406
0.020000,0.862834,-0.269785,0.863065,1.833756,1.965586,-0.091089,0.008293
0.020000,0.900293,-0.269477,0.900525,1.873030,1.963723,-0.093116,0.008136
0.020000,0.938537,-0.269170,0.938771,1.912267,1.961820,-0.095152,0.007930
0.020000,0.977566,-0.268865,0.977800,1.951464,1.959877,-0.097171,0.007673
0.020000,1.017377,-0.268566,1.017612,1.990622,1.957892,-0.099220,0.007362
0.020000,1.057971,-0.268274,1.058207,2.029740,1.955868,-0.101244,0.006995
0.020000,1.099147,-0.267995,1.099385,2.058871,1.456578,-24.964471,0.006570
0.020000,1.140415,-0.267733,1.140654,2.063455,0.229217,-61.368074,0.006092
0.020000,1.181285,-0.267495,1.181524,2.043527,-0.996426,-61.282119,0.005565
0.020000,1.221452,-0.267282,1.221692,2.008381,-1.757299,-38.043680,0.004997
0.020000,1.260811,-0.267097,1.261051,1.967969,-2.020611,-13.165579,0.004392
0.020000,1.299363,-0.266940,1.299603,1.927597,-2.018606,0.100244,0.003752
0.020000,1.337108,-0.266811,1.337348,1.887264,-2.016641,0.098248,0.003080
0.020000,1.374047,-0.266710,1.374288,1.846969,-2.014717,0.096219,0.002379
0.020000,1.410181,-0.266637,1.410422,1.806713,-2.012832,0.094218,0.001653
0.020000,1.445511,-0.266592,1.445752,1.766493,-2.010988,0.092194,0.000903
0.020000,1.480037,-0.266574,1.480278,1.726309,-2.009185,0.090186,0.000132
0.020000,1.513760,-0.266583,1.514001,1.686161,-2.007421,0.088169,6.282528
0.020000,1.546681,-0.266618,1.546922,1.646047,-2.005698,0.086152,6.281724
0.020000,1.578801,-0.266678,1.579042,1.605967,-2.004016,0.084133,6.280906
0.020000,1.610119,-0.266762,1.610360,1.565919,-2.002373,0.082120,6.280077
0.020000,1.640637,-0.266869,1.640878,1.525904,-2.000772,0.080082,6.279240
0.020000,1.670355,-0.266999,1.670597,1.485920,-1.999210,0.078077,6.278396
0.020000,1.699274,-0.267150,1.699516,1.445966,-1.997689,0.076050,6.277548
0.020000,1.727394,-0.267320,1.727637,1.406042,-1.996209,0.074023,6.276698
0.020000,1.754716,-0.267509,1.754960,1.366146,-1.994769,0.071984,6.275849
0.020000,1.781241,-0.267715,1.781485,1.326279,-1.993369,0.069973,6.275002
0.020000,1.806969,-0.267936,1.807214,1.286439,-1.992011,0.067924,6.274159
0.020000,1.831900,-0.268172,1.832146,1.246625,-1.990693,0.065920,6.273322
0.020000,1.856036,-0.268420,1.856283,1.206836,-1.989416,0.063850,6.272493
0.020000,1.879376,-0.268679,1.879625,1.167073,-1.988179,0.061838,6.271673
0.020000,1.901921,-0.268947,1.902171,1.127333,-1.986983,0.059811,6.270866
0.020000,1.923672,-0.269224,1.923924,1.087617,-1.985827,0.057758,6.270071
0.020000,1.944628,-0.269507,1.944882,1.047922,-1.984712,0.055763,6.269291
0.020000,1.964791,-0.269795,1.965047,1.008250,-1.983640,0.053615,6.268528
0.020000,1.984161,-0.270086,1.984419,0.968598,-1.982605,0.051747,6.267782
0.020000,2.002738,-0.270379,2.002998,0.928965,-1.981614,0.049526,6.267056
0.020000,2.020522,-0.270672,2.020785,0.889352,-1.980661,0.047678,6.266351
0.020000,2.037515,-0.270964,2.037780,0.849757,-1.979751,0.045511,6.265667
0.020000,2.053716,-0.271253,2.053984,0.810179,-1.978880,0.043536,6.265007
0.020000,2.069126,-0.271538,2.069396,0.770618,-1.978051,0.041462,6.264371
0.020000,2.083745,-0.271818,2.084018,0.731073,-1.977262,0.039438,6.263761
0.020000,2.097573,-0.272090,2.097849,0.691543,-1.976512,0.037478,6.263178
0.020000,2.110611,-0.272355,2.110889,0.652027,-1.975806,0.035333,6.262622
0.020000,2.122858,-0.272610,2.123140,0.612524,-1.975138,0.033392,6.262096
0.020000,2.134316,-0.272855,2.134600,0.573034,-1.974512,0.031310,6.261598
0.020000,2.144985,-0.273087,2.145272,0.533555,-1.973925,0.029340,6.261132
0.020000,2.154864,-0.273307,2.155153,0.494088,-1.973379,0.027300,6.260696
0.020000,2.163955,-0.273514,2.164246,0.454630,-1.972875,0.025212,6.260293
0.020000,2.172256,-0.273705,2.172550,0.415182,-1.972411,0.023188,6.259922
0.020000,2.179769,-0.273881,2.180064,0.375742,-1.971985,0.021310,6.259585
0.020000,2.186493,-0.274041,2.186791,0.336310,-1.971601,0.019171,6.259282
0.020000,2.192429,-0.274184,2.192728,0.296885,-1.971256,0.017257,6.259013
0.020000,2.197577,-0.274309,2.197878,0.257466,-1.970957,0.014954,6.258778
0.020000,2.201937,-0.274416,2.202239,0.218052,-1.970690,0.013359,6.258579
0.020000,2.205508,-0.274504,2.205812,0.178643,-1.970467,0.011136,6.258416
0.020000,2.208292,-0.274573,2.208596,0.139237,-1.970289,0.008915,6.258288
0.020000,2.210288,-0.274623,2.210593,0.099834,-1.970142,0.007321,6.258196
0.020000,2.211497,-0.274653,2.211802,0.060433,-1.970043,0.004979,6.258141
0.020000,2.212009,-0.274666,2.212314,0.025625,-1.740412,11.481531,6.258117
0.020000,2.212114,-0.274669,2.212419,0.005258,-1.018336,36.103802,6.258112
0.020000,2.212114,-0.274669,2.212419,0.000000,-0.262922,37.770698,6.258112
