dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.981709,2.598019,0.000235,0.023529,1.176471,58.823529,3.164179
0.020000,6.981812,2.598022,0.000339,0.005161,-0.918441,-104.745564,3.164554
0.020000,6.982044,2.598027,0.000571,0.011611,0.322520,62.048028,3.165399
0.020000,6.981053,2.598002,0.001563,0.049596,1.899258,78.836900,3.166900
0.020000,6.975817,2.597863,0.006800,0.261849,10.612621,435.668172,3.169247
0.020000,6.968490,2.597649,0.014130,0.366537,5.234435,-268.909292,3.172536
0.020000,6.959071,2.597337,0.023554,0.471195,5.232894,-0.077060,3.176771
0.020000,6.947564,2.596902,0.035070,0.575771,5.228784,-0.205526,3.181954
0.020000,6.933970,2.596312,0.048677,0.680354,5.229156,0.018594,3.188090
0.020000,6.918293,2.595527,0.064373,0.784819,5.223231,-0.296247,3.195182
0.020000,6.900537,2.594502,0.082159,0.889276,5.222882,-0.017428,3.203235
0.020000,6.880707,2.593189,0.102032,0.993670,5.219668,-0.160715,3.212251
0.020000,6.858809,2.591529,0.123993,1.098038,5.218417,-0.062547,3.222232
0.020000,6.834849,2.589461,0.148042,1.202445,5.220337,0.096009,3.233177
0.020000,6.808836,2.586915,0.174179,1.306861,5.220807,0.023521,3.245084
0.020000,6.780779,2.583819,0.202407,1.411381,5.226018,0.260542,3.257945
0.020000,6.750688,2.580091,0.232728,1.516050,5.233460,0.372100,3.271750
0.020000,6.718783,2.575677,0.264937,1.610457,4.720346,-25.655739,3.286389
0.020000,6.685489,2.570562,0.298621,1.684227,3.688495,-51.592544,3.301653
0.020000,6.651230,2.564755,0.333369,1.737382,2.657764,-51.536549,3.317328
0.020000,6.616426,2.558290,0.368768,1.769941,1.627925,-51.491932,3.333204
0.020000,6.581497,2.551225,0.404404,1.781830,0.594457,-51.673392,3.349068
0.020000,6.546650,2.543602,0.440076,1.783565,0.086729,-25.386395,3.364808
0.020000,6.511888,2.535425,0.475786,1.785513,0.097415,0.534303,3.380405
0.020000,6.477214,2.526699,0.511541,1.787750,0.111851,0.721782,3.395841
0.020000,6.442631,2.517429,0.547345,1.790205,0.122734,0.544133,3.411097
0.020000,6.408141,2.507621,0.583203,1.792903,0.134902,0.608401,3.426157
0.020000,6.373745,2.497282,0.619119,1.795824,0.146066,0.558217,3.441005
0.020000,6.339445,2.486418,0.655098,1.798942,0.155892,0.491324,3.455626
0.020000,6.305244,2.475036,0.691144,1.802271,0.166456,0.528194,3.470005
0.020000,6.271142,2.463146,0.727259,1.805771,0.174987,0.426542,3.484130
0.020000,6.237141,2.450754,0.763448,1.809437,0.183332,0.417216,3.497988
0.020000,6.203241,2.437870,0.799713,1.813267,0.191463,0.406557,3.511567
0.020000,6.169445,2.424502,0.836058,1.817227,0.198028,0.328272,3.524859
0.020000,6.135751,2.410660,0.872484,1.821314,0.204327,0.314951,3.537853
0.020000,6.102160,2.396354,0.908994,1.825515,0.210055,0.286381,3.550542
0.020000,6.068673,2.381593,0.945591,1.829811,0.214807,0.237626,3.562918
0.020000,6.035288,2.366388,0.982274,1.834192,0.219073,0.213300,3.574976
0.020000,6.002007,2.350749,1.019047,1.838646,0.222684,0.180544,3.586710
0.020000,5.968827,2.334686,1.055911,1.843160,0.225672,0.149384,3.598116
0.020000,5.935748,2.318211,1.092865,1.847724,0.228203,0.126542,3.609190
0.020000,5.902769,2.301335,1.129912,1.852325,0.230069,0.093302,3.619929
0.020000,5.869888,2.284067,1.167051,1.856954,0.231447,0.068910,3.630332
0.020000,5.837104,2.266420,1.204283,1.861606,0.232622,0.058755,3.640396
0.020000,5.804414,2.248404,1.241608,1.866268,0.233095,0.023642,3.650122
0.020000,5.771817,2.230031,1.279027,1.870932,0.233192,0.004846,3.659508
0.020000,5.739310,2.211312,1.316539,1.875599,0.233351,0.007953,3.668555
0.020000,5.706889,2.192258,1.354144,1.880253,0.232715,-0.031802,3.677263
0.020000,5.674553,2.172880,1.391842,1.884893,0.232003,-0.035583,3.685634
0.020000,5.642298,2.153189,1.429632,1.889521,0.231395,-0.030427,3.693669
0.020000,5.610121,2.133196,1.467514,1.894119,0.229864,-0.076550,3.701369
0.020000,5.578018,2.112913,1.505488,1.898696,0.228882,-0.049076,3.708736
0.020000,5.545985,2.092349,1.543553,1.903248,0.227572,-0.065485,3.715772
0.020000,5.514019,2.071517,1.581709,1.907759,0.225585,-0.099392,3.722480
0.020000,5.482115,2.050427,1.619954,1.912251,0.224572,-0.050611,3.728862
0.020000,5.450269,2.029089,1.658288,1.916700,0.222471,-0.105055,3.734920
0.020000,5.418476,2.007514,1.696710,1.921120,0.221010,-0.073066,3.740656
0.020000,5.386731,1.985712,1.735220,1.925507,0.219330,-0.083994,3.746074
0.020000,5.355030,1.963695,1.773817,1.929854,0.217348,-0.099120,3.751175
0.020000,5.323368,1.941471,1.812501,1.934177,0.216124,-0.061203,3.755962
0.020000,5.291739,1.919051,1.851270,1.938453,0.213824,-0.114964,3.760438
0.020000,5.260138,1.896445,1.890124,1.942710,0.212862,-0.048124,3.764605
0.020000,5.228559,1.873663,1.929062,1.946926,0.210786,-0.103795,3.768465
0.020000,5.196998,1.850715,1.968085,1.951120,0.209698,-0.054416,3.772020
0.020000,5.165447,1.827610,2.007190,1.955280,0.208001,-0.084816,3.775272
0.020000,5.133902,1.804359,2.046379,1.959418,0.206886,-0.055751,3.778223
0.020000,5.102356,1.780970,2.085649,1.963528,0.205529,-0.067875,3.780876
0.020000,5.070803,1.757454,2.125002,1.967618,0.204497,-0.051570,3.783231
0.020000,5.039237,1.733819,2.164436,1.971687,0.203437,-0.052997,3.785290
0.020000,5.007651,1.710076,2.203950,1.975738,0.202571,-0.043302,3.787054
0.020000,4.976040,1.686232,2.243546,1.979774,0.201783,-0.039442,3.788525
0.020000,4.944395,1.662299,2.283222,1.983797,0.201136,-0.032327,3.789704
0.020000,4.912712,1.638284,2.322978,1.987809,0.200606,-0.026492,3.790590
0.020000,4.880983,1.614197,2.362814,1.991813,0.200209,-0.019851,3.791186
0.020000,4.849200,1.590047,2.402730,1.995812,0.199937,-0.013588,3.791491
0.020000,4.817358,1.565845,2.442727,1.999808,0.199801,-0.006810,3.791505
0.020000,4.785450,1.541597,2.482803,2.003804,0.199793,-0.000433,3.791228
0.020000,4.753467,1.517316,2.522959,2.007802,0.199916,0.006194,3.790661
0.020000,4.721403,1.493008,2.563195,2.011805,0.200175,0.012935,3.789802
0.020000,4.689251,1.468684,2.603511,2.015817,0.200554,0.018923,3.788652
0.020000,4.657003,1.444354,2.643908,2.019838,0.201076,0.026108,3.787209
0.020000,4.624652,1.420026,2.684385,2.023872,0.201706,0.031503,3.785473
0.020000,4.592190,1.395711,2.724944,2.027922,0.202472,0.038306,3.783442
0.020000,4.559610,1.371418,2.765583,2.031989,0.203360,0.044385,3.781116
0.020000,4.526905,1.347157,2.806305,2.036075,0.204328,0.048411,3.778492
0.020000,4.494066,1.322938,2.847109,2.040185,0.205493,0.058269,3.775569
0.020000,4.461087,1.298771,2.887995,2.044317,0.206594,0.055040,3.772346
0.020000,4.427958,1.274667,2.928965,2.048479,0.208074,0.073995,3.768821
0.020000,4.394674,1.250635,2.970018,2.052663,0.209207,0.056652,3.764990
0.020000,4.361225,1.226688,3.011156,2.056884,0.211055,0.092403,3.760853
0.020000,4.327605,1.202835,3.052378,2.061126,0.212089,0.051690,3.756408
0.020000,4.293805,1.179087,3.093686,2.065413,0.214372,0.114157,3.751650
0.020000,4.259818,1.155457,3.135081,2.069720,0.215332,0.048007,3.746579
0.020000,4.225636,1.131955,3.176562,2.074071,0.217568,0.111801,3.741192
0.020000,4.191252,1.108595,3.218131,2.078449,0.218916,0.067377,3.735487
0.020000,4.156659,1.085387,3.259788,2.082864,0.220727,0.090584,3.729460
0.020000,4.121848,1.062344,3.301535,2.087316,0.222597,0.093495,3.723110
0.020000,4.086813,1.039480,3.343371,2.091792,0.223804,0.060325,3.716433
0.020000,4.051546,1.016807,3.385297,2.096314,0.226087,0.114154,3.709429
0.020000,4.016040,0.994339,3.427314,2.100854,0.226999,0.045597,3.702093
0.020000,3.980290,0.972090,3.469422,2.105426,0.228602,0.080153,3.694426
0.020000,3.944288,0.950073,3.511623,2.110028,0.230115,0.075655,3.686423
0.020000,3.908028,0.928304,3.553916,2.114644,0.230801,0.034299,3.678085
0.020000,3.871504,0.906797,3.596302,2.119286,0.232109,0.065407,3.669409
0.020000,3.834711,0.885567,3.638780,2.123940,0.232690,0.029037,3.660395
0.020000,3.797643,0.864630,3.681352,2.128599,0.232931,0.012050,3.651042
0.020000,3.760296,0.844002,3.724018,2.133267,0.233440,0.025458,3.641349
0.020000,3.722665,0.823700,3.766776,2.137928,0.233049,-0.019525,3.631317
0.020000,3.684746,0.803738,3.809628,2.142577,0.232411,-0.031933,3.620947
0.020000,3.646537,0.784135,3.852572,2.147210,0.231692,-0.035950,3.610240
0.020000,3.608035,0.764908,3.895608,2.151814,0.230162,-0.076491,3.599198
