dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.975498,2.872949,0.000235,0.023529,1.176471,58.823529,3.164179
0.020000,6.975498,2.872949,0.001176,0.070588,2.352941,58.823529,3.164554
0.020000,6.975498,2.872949,0.003294,0.141176,3.529412,58.823529,3.165399
0.020000,6.974094,2.872914,0.007059,0.235294,4.705882,58.823529,3.166900
0.020000,6.968213,2.872758,0.012941,0.352941,5.882353,58.823529,3.169247
0.020000,6.959982,2.872517,0.021176,0.470588,5.882353,0.000000,3.172536
0.020000,6.949399,2.872167,0.031765,0.588235,5.882353,0.000000,3.176771
0.020000,6.936468,2.871678,0.044706,0.705882,5.882353,-0.000000,3.181954
0.020000,6.921188,2.871014,0.060000,0.823529,5.882353,0.000000,3.188090
0.020000,6.903563,2.870132,0.077647,0.941176,5.882353,0.000000,3.195182
0.020000,6.883596,2.868980,0.097647,1.058824,5.882353,0.000000,3.203235
0.020000,6.861292,2.867503,0.120000,1.176471,5.882353,0.000000,3.212251
0.020000,6.836657,2.865635,0.144706,1.294118,5.882353,0.000000,3.222232
0.020000,6.809699,2.863308,0.171765,1.411765,5.882353,-0.000000,3.233177
0.020000,6.780427,2.860444,0.201176,1.529412,5.882353,0.000000,3.245084
0.020000,6.748854,2.856959,0.232941,1.647059,5.882353,-0.000000,3.257945
0.020000,6.714996,2.852765,0.267059,1.764706,5.882353,0.000000,3.271750
0.020000,6.679103,2.847799,0.303294,1.858824,4.705882,-58.823529,3.286389
0.020000,6.641660,2.842047,0.341176,1.929412,3.529412,-58.823529,3.301653
0.020000,6.603151,2.835520,0.380235,1.976471,2.352941,-58.823529,3.317328
0.020000,6.564055,2.828257,0.420000,2.000000,1.176471,-58.823529,3.333204
0.020000,6.524850,2.820328,0.460000,2.000000,0.000000,-58.823529,3.349068
0.020000,6.485774,2.811780,0.500000,2.000000,0.000000,0.000000,3.364808
0.020000,6.446837,2.802621,0.540000,2.000000,0.000000,0.000000,3.380405
0.020000,6.408047,2.792859,0.580000,2.000000,0.000000,0.000000,3.395841
0.020000,6.369412,2.782503,0.620000,2.000000,0.000000,0.000000,3.411097
0.020000,6.330937,2.771562,0.660000,2.000000,0.000000,0.000000,3.426157
0.020000,6.292631,2.760047,0.700000,2.000000,0.000000,0.000000,3.441005
0.020000,6.254498,2.747969,0.740000,2.000000,0.000000,0.000000,3.455626
0.020000,6.216545,2.735339,0.780000,2.000000,0.000000,0.000000,3.470005
0.020000,6.178775,2.722170,0.820000,2.000000,0.000000,0.000000,3.484130
0.020000,6.141194,2.708473,0.860000,2.000000,0.000000,0.000000,3.497988
0.020000,6.103804,2.694262,0.900000,2.000000,0.000000,0.000000,3.511567
0.020000,6.066608,2.679550,0.940000,2.000000,0.000000,0.000000,3.524859
0.020000,6.029609,2.664351,0.980000,2.000000,0.000000,0.000000,3.537853
0.020000,5.992807,2.648677,1.020000,2.000000,0.000000,0.000000,3.550542
0.020000,5.956206,2.632544,1.060000,2.000000,0.000000,0.000000,3.562918
0.020000,5.919804,2.615964,1.100000,2.000000,0.000000,0.000000,3.574976
0.020000,5.883602,2.598953,1.140000,2.000000,0.000000,0.000000,3.586710
0.020000,5.847599,2.581524,1.180000,2.000000,0.000000,0.000000,3.598116
0.020000,5.811794,2.563691,1.220000,2.000000,0.000000,0.000000,3.609190
0.020000,5.776186,2.545469,1.260000,2.000000,0.000000,0.000000,3.619929
0.020000,5.740772,2.526872,1.300000,2.000000,0.000000,0.000000,3.630332
0.020000,5.705551,2.507913,1.340000,2.000000,0.000000,0.000000,3.640396
0.020000,5.670519,2.488606,1.380000,2.000000,0.000000,0.000000,3.650122
0.020000,5.635673,2.468966,1.420000,2.000000,0.000000,0.000000,3.659508
0.020000,5.601009,2.449005,1.460000,2.000000,0.000000,0.000000,3.668555
0.020000,5.566524,2.428737,1.500000,2.000000,0.000000,0.000000,3.677263
0.020000,5.532214,2.408176,1.540000,2.000000,0.000000,0.000000,3.685634
0.020000,5.498073,2.387334,1.580000,2.000000,0.000000,0.000000,3.693669
0.020000,5.464097,2.366224,1.620000,2.000000,0.000000,0.000000,3.701369
0.020000,5.430281,2.344858,1.660000,2.000000,0.000000,0.000000,3.708736
0.020000,5.396620,2.323250,1.700000,2.000000,0.000000,0.000000,3.715772
0.020000,5.363108,2.301411,1.740000,2.000000,0.000000,0.000000,3.722480
0.020000,5.329740,2.279353,1.780000,2.000000,0.000000,0.000000,3.728862
0.020000,5.296510,2.257087,1.820000,2.000000,0.000000,0.000000,3.734920
0.020000,5.263411,2.234627,1.860000,2.000000,0.000000,0.000000,3.740656
0.020000,5.230439,2.211982,1.900000,2.000000,0.000000,0.000000,3.746074
0.020000,5.197586,2.189163,1.940000,2.000000,0.000000,0.000000,3.751175
0.020000,5.164846,2.166183,1.980000,2.000000,0.000000,0.000000,3.755962
0.020000,5.132213,2.143052,2.020000,2.000000,0.000000,0.000000,3.760438
0.020000,5.099680,2.119779,2.060000,2.000000,0.000000,0.000000,3.764605
0.020000,5.067240,2.096376,2.100000,2.000000,0.000000,0.000000,3.768465
0.020000,5.034888,2.072853,2.140000,2.000000,0.000000,0.000000,3.772020
0.020000,5.002616,2.049220,2.180000,2.000000,0.000000,0.000000,3.775272
0.020000,4.970417,2.025488,2.220000,2.000000,0.000000,0.000000,3.778223
0.020000,4.938285,2.001665,2.260000,2.000000,0.000000,0.000000,3.780876
0.020000,4.906213,1.977761,2.300000,2.000000,0.000000,0.000000,3.783231
0.020000,4.874194,1.953787,2.340000,2.000000,0.000000,0.000000,3.785290
0.020000,4.842220,1.929752,2.380000,2.000000,0.000000,0.000000,3.787054
0.020000,4.810286,1.905665,2.420000,2.000000,0.000000,0.000000,3.788525
0.020000,4.778383,1.881536,2.460000,2.000000,0.000000,0.000000,3.789704
0.020000,4.746505,1.857373,2.500000,2.000000,0.000000,0.000000,3.790590
0.020000,4.714645,1.833188,2.540000,2.000000,0.000000,0.000000,3.791186
0.020000,4.682797,1.808987,2.580000,2.000000,0.000000,0.000000,3.791491
0.020000,4.650951,1.784782,2.620000,2.000000,0.000000,0.000000,3.791505
0.020000,4.619103,1.760581,2.660000,2.000000,0.000000,0.000000,3.791228
0.020000,4.587245,1.736394,2.700000,2.000000,0.000000,0.000000,3.790661
0.020000,4.555369,1.712229,2.740000,2.000000,0.000000,0.000000,3.789802
0.020000,4.523469,1.688096,2.780000,2.000000,0.000000,0.000000,3.788652
