dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.969287,3.147879,0.000235,0.023529,1.176471,58.823529,3.164179
0.020000,6.969184,3.147877,0.000339,0.005161,-0.918441,-104.745564,3.164554
0.020000,6.968952,3.147871,0.000571,0.011611,0.322520,62.048028,3.165399
0.020000,6.967135,3.147826,0.002388,0.090885,3.963676,182.057802,3.166900
0.020000,6.960609,3.147653,0.008916,0.326391,11.775322,390.582293,3.169247
0.020000,6.951474,3.147385,0.018056,0.456986,6.529759,-262.278151,3.172536
0.020000,6.939727,3.146997,0.029809,0.587638,6.532602,0.142137,3.176771
0.020000,6.925371,3.146454,0.044175,0.718300,6.533112,0.025502,3.181954
0.020000,6.908406,3.145717,0.061157,0.849095,6.539707,0.329762,3.188090
0.020000,6.888833,3.144737,0.080754,0.979864,6.538462,-0.062257,3.195182
0.020000,6.866655,3.143458,0.102969,1.110736,6.543614,0.257601,3.203235
0.020000,6.841877,3.141816,0.127801,1.241615,6.543937,0.016147,3.212251
0.020000,6.814505,3.139742,0.155251,1.372508,6.544657,0.036005,3.222232
0.020000,6.784548,3.137156,0.185320,1.503435,6.546367,0.085518,3.233177
0.020000,6.752018,3.133973,0.218005,1.634280,6.542255,-0.205612,3.245084
0.020000,6.716930,3.130100,0.253307,1.765059,6.538913,-0.167111,3.257945
0.020000,6.679303,3.125439,0.291221,1.895698,6.531958,-0.347718,3.271750
0.020000,6.639423,3.119921,0.331481,2.013033,5.866765,-33.259674,3.286389
0.020000,6.597831,3.113532,0.373561,2.103967,4.546699,-66.003268,3.301653
0.020000,6.555072,3.106284,0.416930,2.168454,3.224326,-66.118654,3.317328
0.020000,6.511684,3.098224,0.461060,2.206505,1.902568,-66.087912,3.333204
0.020000,6.468203,3.089430,0.505422,2.218095,0.579487,-66.154046,3.349068
0.020000,6.424898,3.079957,0.549750,2.216418,-0.083834,-33.166071,3.364808
0.020000,6.381786,3.069816,0.594038,2.214424,-0.099715,-0.794038,3.380405
0.020000,6.338880,3.059018,0.638283,2.212223,-0.110048,-0.516671,3.395841
0.020000,6.296192,3.047576,0.682478,2.209748,-0.123746,-0.684883,3.411097
0.020000,6.253734,3.035502,0.726619,2.207054,-0.134678,-0.546583,3.426157
0.020000,6.211517,3.022812,0.770702,2.204143,-0.145563,-0.544264,3.441005
0.020000,6.169552,3.009520,0.814722,2.201009,-0.156706,-0.557138,3.455626
0.020000,6.127846,2.995642,0.858676,2.197699,-0.165487,-0.439069,3.470005
0.020000,6.086409,2.981194,0.902560,2.194194,-0.175239,-0.487566,3.484130
0.020000,6.045247,2.966192,0.946370,2.190521,-0.183660,-0.421067,3.497988
0.020000,6.004366,2.950655,0.990104,2.186706,-0.190774,-0.355686,3.511567
0.020000,5.963771,2.934599,1.033759,2.182741,-0.198209,-0.371786,3.524859
0.020000,5.923467,2.918041,1.077332,2.178653,-0.204408,-0.309913,3.537853
0.020000,5.883455,2.901000,1.120821,2.174458,-0.209768,-0.268035,3.550542
0.020000,5.843739,2.883494,1.164225,2.170162,-0.214812,-0.252177,3.562918
0.020000,5.804319,2.865541,1.207540,2.165782,-0.219005,-0.209671,3.574976
0.020000,5.765197,2.847157,1.250767,2.161329,-0.222610,-0.180253,3.586710
0.020000,5.726370,2.828361,1.293903,2.156816,-0.225656,-0.152292,3.598116
0.020000,5.687840,2.809171,1.336948,2.152256,-0.228022,-0.118282,3.609190
0.020000,5.649602,2.789604,1.379901,2.147655,-0.230028,-0.100310,3.619929
0.020000,5.611656,2.769676,1.422762,2.143024,-0.231547,-0.075975,3.630332
0.020000,5.573998,2.749405,1.465529,2.138378,-0.232336,-0.039416,3.640396
0.020000,5.536623,2.728808,1.508204,2.133717,-0.233051,-0.035768,3.650122
0.020000,5.499529,2.707900,1.550785,2.129049,-0.233397,-0.017288,3.659508
0.020000,5.462709,2.686698,1.593273,2.124390,-0.232958,0.021936,3.668555
0.020000,5.426160,2.665217,1.635667,2.119734,-0.232788,0.008525,3.677263
0.020000,5.389874,2.643473,1.677969,2.115091,-0.232142,0.032278,3.685634
0.020000,5.353848,2.621479,1.720178,2.110473,-0.230899,0.062138,3.693669
0.020000,5.318073,2.599252,1.762296,2.105867,-0.230274,0.031265,3.701369
0.020000,5.282545,2.576804,1.804322,2.101294,-0.228687,0.079343,3.708736
0.020000,5.247255,2.554150,1.846257,2.096750,-0.227183,0.075236,3.715772
0.020000,5.212198,2.531304,1.888101,2.092226,-0.226195,0.049383,3.722480
0.020000,5.177366,2.508278,1.929856,2.087747,-0.223962,0.111655,3.728862
0.020000,5.142751,2.485086,1.971522,2.083291,-0.222797,0.058237,3.734920
0.020000,5.108347,2.461739,2.013099,2.078874,-0.220854,0.097130,3.740656
0.020000,5.074147,2.438251,2.054589,2.074492,-0.219114,0.087003,3.746074
0.020000,5.040141,2.414632,2.095992,2.070138,-0.217700,0.070727,3.751175
0.020000,5.006324,2.390896,2.137309,2.065827,-0.215508,0.109608,3.755962
0.020000,4.972686,2.367052,2.178539,2.061537,-0.214532,0.048782,3.760438
0.020000,4.939221,2.343113,2.219685,2.057292,-0.212227,0.115243,3.764605
0.020000,4.905921,2.319090,2.260747,2.053068,-0.211226,0.050065,3.768465
0.020000,4.872778,2.294992,2.301724,2.048881,-0.209323,0.095133,3.772020
0.020000,4.839785,2.270830,2.342619,2.044717,-0.208225,0.054920,3.775272
0.020000,4.806933,2.246616,2.383430,2.040583,-0.206698,0.076353,3.778223
0.020000,4.774215,2.222359,2.424160,2.036470,-0.205621,0.053827,3.780876
0.020000,4.741623,2.198068,2.464807,2.032382,-0.204416,0.060268,3.783231
0.020000,4.709151,2.173755,2.505373,2.028313,-0.203463,0.047662,3.785290
0.020000,4.676789,2.149428,2.545859,2.024262,-0.202542,0.046049,3.787054
0.020000,4.644532,2.125097,2.586263,2.020226,-0.201782,0.037966,3.788525
0.020000,4.612371,2.100773,2.626587,2.016204,-0.201125,0.032855,3.789704
0.020000,4.580299,2.076463,2.666831,2.012192,-0.200603,0.026128,3.790590
0.020000,4.548308,2.052178,2.706995,2.008188,-0.200203,0.019982,3.791186
0.020000,4.516393,2.027927,2.747079,2.004189,-0.199938,0.013275,3.791491
0.020000,4.484544,2.003720,2.787083,2.000193,-0.199798,0.006970,3.791505
0.020000,4.452757,1.979565,2.827006,1.996197,-0.199794,0.000201,3.791228
0.020000,4.421023,1.955472,2.866850,1.992199,-0.199920,-0.006319,3.790661
0.020000,4.389335,1.931449,2.906614,1.988195,-0.200174,-0.012673,3.789802
0.020000,4.357687,1.907507,2.946298,1.984184,-0.200567,-0.019660,3.788652
0.020000,4.326073,1.883655,2.985901,1.980162,-0.201073,-0.025297,3.787209
0.020000,4.294485,1.859901,3.025424,1.976128,-0.201722,-0.032465,3.785473
0.020000,4.262917,1.836256,3.064865,1.972078,-0.202482,-0.037958,3.783442
0.020000,4.231363,1.812727,3.104226,1.968011,-0.203358,-0.043806,3.781116
0.020000,4.199817,1.789326,3.143504,1.963924,-0.204382,-0.051208,3.778492
0.020000,4.168272,1.766061,3.182700,1.959815,-0.205432,-0.052486,3.775569
0.020000,4.136722,1.742942,3.221814,1.955680,-0.206747,-0.065765,3.772346
0.020000,4.105162,1.719978,3.260844,1.951522,-0.207889,-0.057125,3.768821
0.020000,4.073585,1.697180,3.299791,1.947331,-0.209537,-0.082376,3.764990
0.020000,4.041987,1.674557,3.338653,1.943118,-0.210663,-0.056289,3.760853
0.020000,4.010361,1.652119,3.377431,1.938864,-0.212696,-0.101659,3.756408
0.020000,3.978702,1.629875,3.416123,1.934591,-0.213669,-0.048638,3.751650
0.020000,3.947005,1.607837,3.454728,1.930271,-0.215975,-0.115323,3.746579
0.020000,3.915265,1.586014,3.493247,1.925928,-0.217153,-0.058912,3.741192
0.020000,3.883476,1.564417,3.531677,1.921544,-0.219196,-0.102143,3.735487
0.020000,3.851635,1.543056,3.570020,1.917128,-0.220811,-0.080753,3.729460
0.020000,3.819737,1.521941,3.608274,1.912681,-0.222344,-0.076652,3.723110
0.020000,3.787777,1.501084,3.646438,1.908193,-0.224416,-0.103576,3.716433
0.020000,3.755751,1.480494,3.684511,1.903685,-0.225395,-0.048975,3.709429
0.020000,3.723655,1.460183,3.722494,1.899136,-0.227469,-0.103706,3.702093
0.020000,3.691485,1.440162,3.760385,1.894562,-0.228712,-0.062142,3.694426
0.020000,3.659238,1.420441,3.798184,1.889966,-0.229787,-0.053747,3.686423
0.020000,3.626910,1.401033,3.835891,1.885340,-0.231296,-0.075456,3.678085
0.020000,3.594497,1.381947,3.873505,1.880702,-0.231885,-0.029432,3.669409
0.020000,3.561999,1.363195,3.911026,1.876048,-0.232698,-0.040670,3.660395
0.020000,3.529410,1.344788,3.948454,1.871382,-0.233322,-0.031202,3.651042
0.020000,3.496729,1.326737,3.985788,1.866719,-0.233158,0.008200,3.641349
0.020000,3.463954,1.309054,4.023029,1.862055,-0.233164,-0.000288,3.631317
0.020000,3.431083,1.291749,4.060177,1.857401,-0.232694,0.023483,3.620947
0.020000,3.398113,1.274834,4.097233,1.852771,-0.231536,0.057908,3.610240
0.020000,3.365044,1.258320,4.134196,1.848166,-0.230251,0.064279,3.599198
0.020000,3.331874,1.242217,4.171068,1.843597,-0.228409,0.092080,3.587824
0.020000,3.298602,1.226537,4.207850,1.839079,-0.225924,0.124278,3.576122
0.020000,3.265228,1.211290,4.244542,1.834619,-0.223005,0.145929,3.564095
0.020000,3.231751,1.196486,4.281147,1.830230,-0.219445,0.177980,3.551749
0.020000,3.198170,1.182135,4.317665,1.825925,-0.215257,0.209417,3.539090
0.020000,3.164486,1.168248,4.354099,1.821714,-0.210536,0.236033,3.526125
0.020000,3.130699,1.154834,4.390452,1.817616,-0.204890,0.282302,3.512861
0.020000,3.096810,1.141903,4.426725,1.813642,-0.198700,0.309495,3.499309
0.020000,3.062818,1.129463,4.462921,1.809800,-0.192120,0.329047,3.485478
0.020000,3.028726,1.117524,4.499043,1.806118,-0.184100,0.400997,3.471378
0.020000,2.994534,1.106093,4.535095,1.802600,-0.175887,0.410616,3.457023
0.020000,2.960244,1.095179,4.571080,1.799254,-0.167293,0.429733,3.442425
0.020000,2.925857,1.084789,4.607002,1.796117,-0.156862,0.521508,3.427598
0.020000,2.891376,1.074929,4.642866,1.793174,-0.147172,0.484529,3.412558
0.020000,2.856801,1.065607,4.678675,1.790455,-0.135911,0.563053,3.397320
0.020000,2.822136,1.056828,4.714434,1.787976,-0.123961,0.597469,3.381901
0.020000,2.787383,1.048598,4.750149,1.785717,-0.112953,0.550433,3.366318
