dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000031,0.275000,0.000235,0.023529,1.176471,58.823529,6.283072
0.020000,0.000027,0.275000,0.000239,0.000185,-1.167206,-117.183811,6.283086
0.020000,0.000019,0.275000,0.000247,0.000417,0.011570,58.938763,6.283116
0.020000,0.000004,0.275000,0.000262,0.000740,0.016165,0.229777,6.283170
0.020000,0.004788,0.275000,0.005046,0.239197,11.922863,595.334904,0.000069
0.020000,0.012991,0.275001,0.013249,0.410153,8.547784,-168.753939,0.000186
0.020000,0.023538,0.275004,0.023796,0.527347,5.859683,-134.405056,0.000336
0.020000,0.036429,0.275009,0.036687,0.644546,5.859950,0.013348,0.000519
0.020000,0.051664,0.275019,0.051922,0.761751,5.860276,0.016285,0.000734
0.020000,0.069243,0.275034,0.069501,0.878964,5.860661,0.019268,0.000980
0.020000,0.089167,0.275056,0.089425,0.996186,5.861106,0.022232,0.001257
0.020000,0.111435,0.275088,0.111693,1.113419,5.861610,0.025178,0.001565
0.020000,0.136049,0.275130,0.136307,1.230662,5.862173,0.028171,0.001902
0.020000,0.163007,0.275187,0.163265,1.347918,5.862795,0.031121,0.002267
0.020000,0.192311,0.275259,0.192569,1.465188,5.863477,0.034072,0.002660
0.020000,0.223960,0.275350,0.224218,1.582472,5.864218,0.037069,0.003079
0.020000,0.257955,0.275462,0.258214,1.699772,5.865019,0.040034,0.003523
0.020000,0.294062,0.275598,0.294321,1.805366,5.279705,-29.265714,0.003989
0.020000,0.331812,0.275757,0.332072,1.887529,4.108117,-58.579364,0.004468
0.020000,0.370737,0.275941,0.370997,1.946255,2.936308,-58.590472,0.004954
0.020000,0.410367,0.276147,0.410627,1.981540,1.764259,-58.602454,0.005441
0.020000,0.450234,0.276373,0.450495,1.993379,0.591949,-58.615470,0.005923
0.020000,0.490103,0.276619,0.490365,1.993493,0.005712,-29.311880,0.006396
0.020000,0.529975,0.276883,0.530237,1.993608,0.005712,0.000004,0.006861
0.020000,0.569848,0.277166,0.570111,1.993722,0.005712,0.000003,0.007317
0.020000,0.609724,0.277467,0.609988,1.993836,0.005712,0.000002,0.007766
0.020000,0.649602,0.277785,0.649867,1.993950,0.005712,0.000001,0.008206
0.020000,0.689481,0.278121,0.689748,1.994065,0.005712,0.000000,0.008637
0.020000,0.729363,0.278474,0.729632,1.994179,0.005712,-0.000020,0.009061
0.020000,0.769248,0.278844,0.769518,1.994293,0.005711,-0.000025,0.009476
0.020000,0.809134,0.279230,0.809406,1.994407,0.005712,0.000037,0.009882
0.020000,0.849022,0.279632,0.849296,1.994521,0.005712,-0.000003,0.010281
0.020000,0.888913,0.280050,0.889189,1.994636,0.005712,-0.000004,0.010671
0.020000,0.928805,0.280483,0.929084,1.994750,0.005712,-0.000004,0.011053
0.020000,0.968700,0.280932,0.968981,1.994864,0.005712,-0.000005,0.011426
0.020000,1.008597,0.281395,1.008881,1.994978,0.005711,-0.000006,0.011792
0.020000,1.048496,0.281872,1.048783,1.995093,0.005711,-0.000006,0.012149
0.020000,1.088397,0.282364,1.088687,1.995207,0.005711,-0.000007,0.012497
0.020000,1.128300,0.282870,1.128593,1.995321,0.005711,-0.000007,0.012837
0.020000,1.168206,0.283389,1.168502,1.995435,0.005711,-0.000008,0.013169
0.020000,1.208113,0.283921,1.208413,1.995549,0.005710,-0.000024,0.013493
0.020000,1.248023,0.284466,1.248326,1.995664,0.005710,-0.000045,0.013808
0.020000,1.287934,0.285023,1.288242,1.995778,0.005710,0.000045,0.014115
0.020000,1.327848,0.285592,1.328160,1.995892,0.005710,-0.000008,0.014414
0.020000,1.367764,0.286174,1.368080,1.996006,0.005710,-0.000009,0.014705
0.020000,1.407682,0.286766,1.408002,1.996120,0.005710,-0.000009,0.014987
0.020000,1.447602,0.287370,1.447927,1.996235,0.005710,-0.000009,0.015261
0.020000,1.487524,0.287985,1.487854,1.996349,0.005710,-0.000009,0.015526
0.020000,1.527449,0.288610,1.527783,1.996463,0.005709,-0.000009,0.015783
0.020000,1.567375,0.289245,1.567715,1.996577,0.005709,-0.000009,0.016032
0.020000,1.607304,0.289890,1.607649,1.996691,0.005709,-0.000009,0.016273
