dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000292,0.275000,0.000235,0.023529,1.176471,58.823529,6.282124
0.020000,0.000166,0.275000,0.000361,0.006268,-0.863048,-101.975954,6.282580
0.020000,0.000754,0.275000,0.000948,0.029375,1.155313,100.918069,0.000422
0.020000,0.004014,0.275005,0.004208,0.163015,6.682003,276.334493,0.002256
0.020000,0.009103,0.275023,0.009298,0.254466,4.572543,-105.473004,0.005140
0.020000,0.016217,0.275074,0.016411,0.355673,5.060345,24.390102,0.009219
0.020000,0.025342,0.275183,0.025538,0.456319,5.032341,-1.400167,0.014535
0.020000,0.036465,0.275381,0.036662,0.556207,4.994407,-1.896700,0.021143
0.020000,0.049563,0.275710,0.049764,0.655113,4.945252,-2.457751,0.029112
0.020000,0.064612,0.276219,0.064821,0.752858,4.887260,-2.899622,0.038531
0.020000,0.081578,0.276966,0.081804,0.849142,4.814200,-3.652981,0.049502
0.020000,0.100423,0.278018,0.100678,0.943707,4.728265,-4.296776,0.062151
0.020000,0.121098,0.279454,0.121403,1.036249,4.627111,-5.057671,0.076626
0.020000,0.143545,0.281362,0.143931,1.126399,4.507484,-5.981347,0.093101
0.020000,0.167692,0.283842,0.168206,1.213730,4.366552,-7.046618,0.111781
0.020000,0.193455,0.287007,0.194162,1.297798,4.203386,-8.158308,0.132902
0.020000,0.220729,0.290981,0.221724,1.378098,4.014993,-9.419625,0.156738
0.020000,0.249208,0.295868,0.250619,1.444753,3.332770,-34.111194,0.183426
0.020000,0.278398,0.301724,0.280391,1.488619,2.193281,-56.974433,0.212913
0.020000,0.307820,0.308576,0.310600,1.510442,1.091196,-55.104250,0.245091
0.020000,0.337013,0.316411,0.340826,1.511301,0.042936,-52.413000,0.279770
0.020000,0.365549,0.325176,0.370678,1.492606,-0.934784,-48.886012,0.316666
0.020000,0.393202,0.334830,0.399968,1.464481,-1.406204,-23.570978,0.355606
0.020000,0.419925,0.345376,0.428697,1.436450,-1.401566,0.231908,0.396584
0.020000,0.445683,0.356812,0.456879,1.409111,-1.366955,1.730543,0.439550
0.020000,0.470449,0.369136,0.484542,1.383163,-1.297394,3.478041,0.484402
