dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000235,0.023529,1.176471,58.823529,6.282975
0.020000,0.000000,0.000000,0.001176,0.070588,2.352941,58.823529,6.283063
0.020000,0.000811,0.000000,0.003294,0.141176,3.529412,58.823529,0.000076
0.020000,0.004575,0.000001,0.007059,0.235294,4.705882,58.823529,0.000426
0.020000,0.010458,0.000005,0.012941,0.352941,5.882353,58.823529,0.000970
0.020000,0.018693,0.000016,0.021176,0.470588,5.882353,0.000000,0.001725
0.020000,0.029281,0.000040,0.031765,0.588235,5.882353,0.000000,0.002686
0.020000,0.042222,0.000082,0.044706,0.705882,5.882353,-0.000000,0.003844
0.020000,0.057516,0.000151,0.060000,0.823529,5.882353,0.000000,0.005190
0.020000,0.075163,0.000256,0.077647,0.941176,5.882353,0.000000,0.006713
0.020000,0.095163,0.000407,0.097647,1.058824,5.882353,0.000000,0.008398
0.020000,0.117515,0.000615,0.120000,1.176471,5.882353,0.000000,0.010231
0.020000,0.142219,0.000893,0.144706,1.294118,5.882353,0.000000,0.012196
0.020000,0.169275,0.001251,0.171765,1.411765,5.882353,-0.000000,0.014273
0.020000,0.198684,0.001703,0.201176,1.529412,5.882353,0.000000,0.016443
0.020000,0.230443,0.002261,0.232941,1.647059,5.882353,-0.000000,0.018683
0.020000,0.264554,0.002938,0.267059,1.764706,5.882353,0.000000,0.020970
0.020000,0.300781,0.003739,0.303294,1.858824,4.705882,-58.823529,0.023264
0.020000,0.338652,0.004664,0.341176,1.929412,3.529412,-58.823529,0.025512
0.020000,0.377697,0.005703,0.380235,1.976471,2.352941,-58.823529,0.027671
0.020000,0.417445,0.006844,0.420000,2.000000,1.176471,-58.823529,0.029703
0.020000,0.457426,0.008070,0.460000,2.000000,0.000000,-58.823529,0.031577
0.020000,0.497405,0.009367,0.500000,2.000000,0.000000,0.000000,0.033282
0.020000,0.537382,0.010730,0.540000,2.000000,0.000000,0.000000,0.034817
0.020000,0.577357,0.012150,0.580000,2.000000,0.000000,0.000000,0.036183
0.020000,0.617330,0.013621,0.620000,2.000000,0.000000,0.000000,0.037378
0.020000,0.657301,0.015137,0.660000,2.000000,0.000000,0.000000,0.038405
0.020000,0.697271,0.016691,0.700000,2.000000,0.000000,0.000000,0.039262
0.020000,0.737239,0.018275,0.740000,2.000000,0.000000,0.000000,0.039950
0.020000,0.777207,0.019884,0.780000,2.000000,0.000000,0.000000,0.040468
0.020000,0.817174,0.021509,0.820000,2.000000,0.000000,0.000000,0.040817
0.020000,0.857141,0.023146,0.860000,2.000000,0.000000,0.000000,0.040997
0.020000,0.897107,0.024786,0.900000,2.000000,0.000000,0.000000,0.041007
0.020000,0.937073,0.026423,0.940000,2.000000,0.000000,0.000000,0.040848
0.020000,0.977040,0.028051,0.980000,2.000000,0.000000,0.000000,0.040520
0.020000,1.017008,0.029662,1.020000,2.000000,0.000000,0.000000,0.040023
0.020000,1.056976,0.031249,1.060000,2.000000,0.000000,0.000000,0.039356
0.020000,1.096946,0.032807,1.100000,2.000000,0.000000,0.000000,0.038520
0.020000,1.136917,0.034328,1.140000,2.000000,0.000000,0.000000,0.037514
0.020000,1.176890,0.035805,1.180000,2.000000,0.000000,0.000000,0.036339
0.020000,1.216864,0.037232,1.220000,2.000000,0.000000,0.000000,0.034995
0.020000,1.256841,0.038602,1.260000,2.000000,0.000000,0.000000,0.033481
0.020000,1.296819,0.039908,1.300000,2.000000,0.000000,0.000000,0.031797
0.020000,1.336800,0.041143,1.340000,2.000000,0.000000,0.000000,0.029944
0.020000,1.376784,0.042301,1.380000,2.000000,0.000000,0.000000,0.027920
0.020000,1.416769,0.043374,1.420000,2.000000,0.000000,0.000000,0.025727
0.020000,1.456757,0.044357,1.460000,2.000000,0.000000,0.000000,0.023364
