dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.334751,2.628440,0.000235,0.023529,1.176471,58.823529,0.000058
0.020000,1.334740,2.628440,0.000247,0.000572,-1.147866,-116.216806,0.000016
0.020000,1.336463,2.628440,0.001970,0.086165,4.279632,271.374894,6.283108
0.020000,1.340182,2.628439,0.005689,0.185959,4.989716,35.504184,6.282943
0.020000,1.345994,2.628437,0.011501,0.290582,5.231125,12.070434,6.282685
0.020000,1.354131,2.628431,0.019638,0.406856,5.813734,29.130463,6.282328
0.020000,1.364594,2.628420,0.030101,0.523173,5.815837,0.105158,6.281875
0.020000,1.377385,2.628400,0.042892,0.639544,5.818541,0.135194,6.281328
0.020000,1.392505,2.628367,0.058012,0.755981,5.821848,0.165327,6.280694
0.020000,1.409955,2.628317,0.075462,0.872496,5.825755,0.195362,6.279977
0.020000,1.429736,2.628246,0.095244,0.989101,5.830264,0.225486,6.279184
0.020000,1.451852,2.628148,0.117360,1.105809,5.835377,0.255616,6.278323
0.020000,1.476305,2.628018,0.141813,1.222631,5.841091,0.285728,6.277402
0.020000,1.503096,2.627850,0.168604,1.339579,5.847409,0.315873,6.276430
0.020000,1.532228,2.627638,0.197738,1.456665,5.854329,0.346020,6.275418
0.020000,1.563705,2.627377,0.229216,1.573902,5.861852,0.376149,6.274375
0.020000,1.597530,2.627061,0.263042,1.691302,5.869978,0.406288,6.273315
0.020000,1.633472,2.626687,0.298986,1.797203,5.295044,-28.746721,6.272256
0.020000,1.671068,2.626256,0.336584,1.879911,4.135414,-57.981492,6.271223
0.020000,1.709852,2.625773,0.375372,1.939382,2.973559,-58.092717,6.270237
0.020000,1.749360,2.625243,0.414883,1.975567,1.809239,-58.216012,6.269315
0.020000,1.789124,2.624674,0.454651,1.988413,0.642292,-58.347346,6.268473
0.020000,1.828911,2.624073,0.494443,1.989572,0.057976,-29.215804,6.267714
0.020000,1.868721,2.623444,0.534257,1.990732,0.057976,0.000001,6.267040
0.020000,1.908553,2.622788,0.574095,1.991891,0.057976,-0.000022,6.266450
0.020000,1.948409,2.622111,0.613956,1.993051,0.057975,-0.000037,6.265945
0.020000,1.988287,2.621415,0.653840,1.994210,0.057974,-0.000045,6.265524
0.020000,2.028188,2.620703,0.693748,1.995370,0.057973,-0.000047,6.265187
0.020000,2.068112,2.619979,0.733678,1.996529,0.057972,-0.000045,6.264935
0.020000,2.108059,2.619246,0.773632,1.997689,0.057971,-0.000037,6.264767
0.020000,2.148029,2.618508,0.813609,1.998848,0.057971,-0.000027,6.264683
0.020000,2.188022,2.617768,0.853609,2.000008,0.057971,-0.000016,6.264684
0.020000,2.228039,2.617029,0.893632,2.001167,0.057971,-0.000003,6.264768
0.020000,2.268079,2.616294,0.933679,2.002326,0.057971,0.000010,6.264938
0.020000,2.308142,2.615568,0.973749,2.003486,0.057971,0.000022,6.265191
0.020000,2.348228,2.614853,1.013842,2.004645,0.057972,0.000031,6.265529
0.020000,2.388338,2.614153,1.053958,2.005805,0.057973,0.000038,6.265951
0.020000,2.428472,2.613471,1.094097,2.006964,0.057973,0.000042,6.266458
0.020000,2.468629,2.612811,1.134259,2.008124,0.057974,0.000040,6.267048
0.020000,2.508809,2.612176,1.174445,2.009283,0.057975,0.000030,6.267724
0.020000,2.549014,2.611569,1.214654,2.010443,0.057975,0.000016,6.268483
0.020000,2.589242,2.610994,1.254886,2.011602,0.057975,-0.000007,6.269327
0.020000,2.629493,2.610455,1.295141,2.012762,0.057974,-0.000038,6.270255
0.020000,2.669768,2.609954,1.335420,2.013921,0.057973,-0.000080,6.271267
0.020000,2.710067,2.609496,1.375721,2.015080,0.057970,-0.000132,6.272364
0.020000,2.750390,2.609083,1.416046,2.016240,0.057966,-0.000197,6.273545
0.020000,2.790737,2.608719,1.456394,2.017399,0.057961,-0.000275,6.274811
0.020000,2.831106,2.608408,1.496765,2.018558,0.057953,-0.000370,6.276160
