dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.033410,0.372135,0.000235,0.023529,1.176471,58.823529,6.281759
0.020000,0.033454,0.372135,0.000279,0.002181,-1.067435,-112.195292,6.281917
0.020000,0.033552,0.372135,0.000377,0.004905,0.136239,60.183725,6.282274
0.020000,0.033726,0.372135,0.000551,0.008717,0.190581,2.717091,6.282908
0.020000,0.038233,0.372136,0.005058,0.225338,10.831044,532.023156,0.000713
0.020000,0.046849,0.372148,0.013674,0.430806,10.273403,-27.882043,0.002097
0.020000,0.057926,0.372181,0.024752,0.553868,6.153092,-206.015564,0.003876
0.020000,0.071464,0.372249,0.038290,0.676904,6.151819,-0.063664,0.006047
0.020000,0.087462,0.372366,0.054288,0.799931,6.151345,-0.023686,0.008609
0.020000,0.105920,0.372552,0.072747,0.922922,6.149540,-0.090249,0.011560
0.020000,0.126836,0.372829,0.093665,1.045889,6.148339,-0.060063,0.014897
0.020000,0.150208,0.373220,0.117040,1.168793,6.145191,-0.157369,0.018617
0.020000,0.176036,0.373754,0.142874,1.291667,6.143704,-0.074389,0.022716
0.020000,0.204317,0.374460,0.171163,1.414469,6.140103,-0.180051,0.027192
0.020000,0.235048,0.375371,0.201907,1.537220,6.137582,-0.126054,0.032038
0.020000,0.268226,0.376521,0.235105,1.659895,6.133712,-0.193486,0.037250
0.020000,0.303847,0.377947,0.270755,1.782494,6.129971,-0.187050,0.042822
0.020000,0.341661,0.379679,0.308609,1.892698,5.510214,-30.987846,0.048708
0.020000,0.381174,0.381727,0.348175,1.978268,4.278495,-61.585949,0.054828
0.020000,0.421888,0.384089,0.388957,2.039143,3.043736,-61.737965,0.061098
0.020000,0.463311,0.386756,0.430466,2.075443,1.815027,-61.435446,0.067440
0.020000,0.504949,0.389701,0.472208,2.087103,0.582956,-61.603560,0.073775
0.020000,0.546555,0.392907,0.513938,2.086470,-0.031638,-30.729684,0.080065
0.020000,0.588128,0.396374,0.555655,2.085840,-0.031503,0.006761,0.086307
0.020000,0.629664,0.400097,0.597358,2.085164,-0.033763,-0.113010,0.092502
0.020000,0.671164,0.404076,0.639047,2.084475,-0.034469,-0.035291,0.098646
0.020000,0.712624,0.408307,0.680723,2.083792,-0.034129,0.016985,0.104740
0.020000,0.754044,0.412788,0.722385,2.083068,-0.036246,-0.105862,0.110781
0.020000,0.795421,0.417516,0.764031,2.082328,-0.036976,-0.036478,0.116769
0.020000,0.836755,0.422489,0.805663,2.081591,-0.036841,0.006750,0.122703
0.020000,0.878043,0.427705,0.847279,2.080825,-0.038304,-0.073128,0.128582
0.020000,0.919285,0.433159,0.888880,2.080042,-0.039182,-0.043912,0.134403
0.020000,0.960479,0.438850,0.930465,2.079252,-0.039471,-0.014479,0.140167
0.020000,1.001623,0.444776,0.972034,2.078451,-0.040044,-0.028628,0.145873
0.020000,1.042717,0.450932,1.013587,2.077628,-0.041161,-0.055855,0.151519
0.020000,1.083760,0.457316,1.055123,2.076793,-0.041732,-0.028528,0.157104
0.020000,1.124749,0.463926,1.096642,2.075959,-0.041727,0.000244,0.162629
0.020000,1.165685,0.470757,1.138144,2.075102,-0.042849,-0.056111,0.168091
0.020000,1.206566,0.477808,1.179629,2.074234,-0.043408,-0.027971,0.173490
0.020000,1.247392,0.485076,1.221096,2.073359,-0.043751,-0.017112,0.178825
0.020000,1.288161,0.492556,1.262545,2.072477,-0.044067,-0.015795,0.184097
0.020000,1.328872,0.500247,1.303977,2.071580,-0.044858,-0.039548,0.189303
0.020000,1.369526,0.508144,1.345390,2.070675,-0.045263,-0.020283,0.194443
0.020000,1.410120,0.516246,1.386786,2.069765,-0.045472,-0.010456,0.199517
0.020000,1.450656,0.524548,1.428163,2.068847,-0.045944,-0.023593,0.204524
0.020000,1.491131,0.533049,1.469521,2.067918,-0.046424,-0.024006,0.209464
0.020000,1.531546,0.541743,1.510861,2.066983,-0.046742,-0.015874,0.214336
0.020000,1.571900,0.550629,1.552182,2.066045,-0.046905,-0.008142,0.219139
0.020000,1.612193,0.559704,1.593484,2.065098,-0.047342,-0.021883,0.223873
0.020000,1.652424,0.568963,1.634767,2.064146,-0.047635,-0.014634,0.228539
0.020000,1.692594,0.578404,1.676030,2.063188,-0.047871,-0.011817,0.233135
0.020000,1.732701,0.588023,1.717275,2.062227,-0.048035,-0.008163,0.237660
0.020000,1.772745,0.597819,1.758500,2.061261,-0.048342,-0.015367,0.242116
0.020000,1.812727,0.607786,1.799706,2.060290,-0.048522,-0.009024,0.246501
0.020000,1.852647,0.617922,1.840892,2.059316,-0.048688,-0.008308,0.250815
0.020000,1.892504,0.628224,1.882059,2.058339,-0.048872,-0.009162,0.255058
0.020000,1.932298,0.638689,1.923206,2.057359,-0.049009,-0.006886,0.259229
0.020000,1.972030,0.649313,1.964334,2.056376,-0.049125,-0.005753,0.263330
0.020000,2.011699,0.660094,2.005441,2.055391,-0.049256,-0.006598,0.267358
0.020000,2.051305,0.671027,2.046530,2.054403,-0.049399,-0.007112,0.271315
0.020000,2.090850,0.682110,2.087598,2.053415,-0.049422,-0.001171,0.275200
0.020000,2.130332,0.693340,2.128646,2.052425,-0.049482,-0.003000,0.279012
0.020000,2.169753,0.704714,2.169675,2.051433,-0.049612,-0.006476,0.282753
0.020000,2.209112,0.716228,2.210684,2.050440,-0.049664,-0.002592,0.286422
0.020000,2.248410,0.727879,2.251673,2.049447,-0.049621,0.002104,0.290018
0.020000,2.287648,0.739664,2.292642,2.048454,-0.049636,-0.000751,0.293542
0.020000,2.326825,0.751581,2.333591,2.047459,-0.049794,-0.007854,0.296994
0.020000,2.365942,0.763625,2.374520,2.046464,-0.049710,0.004167,0.300373
0.020000,2.405000,0.775794,2.415430,2.045471,-0.049648,0.003117,0.303680
0.020000,2.443998,0.788084,2.456319,2.044479,-0.049628,0.000973,0.306915
0.020000,2.482938,0.800494,2.497189,2.043482,-0.049839,-0.010513,0.310077
0.020000,2.521821,0.813019,2.538039,2.042490,-0.049581,0.012867,0.313168
0.020000,2.560646,0.825656,2.578869,2.041500,-0.049540,0.002066,0.316186
0.020000,2.599414,0.838403,2.619679,2.040508,-0.049573,-0.001657,0.319132
0.020000,2.638126,0.851257,2.660469,2.039516,-0.049626,-0.002663,0.322006
0.020000,2.676783,0.864214,2.701240,2.038528,-0.049395,0.011584,0.324808
0.020000,2.715385,0.877271,2.741991,2.037541,-0.049334,0.003053,0.327538
0.020000,2.753933,0.890426,2.782722,2.036552,-0.049450,-0.005799,0.330197
0.020000,2.792428,0.903676,2.823433,2.035566,-0.049297,0.007640,0.332783
0.020000,2.830871,0.917018,2.864125,2.034584,-0.049134,0.008120,0.335298
0.020000,2.869261,0.930448,2.904797,2.033602,-0.049079,0.002773,0.337742
0.020000,2.907601,0.943964,2.945449,2.032617,-0.049244,-0.008268,0.340114
0.020000,2.945890,0.957563,2.986082,2.031639,-0.048908,0.016796,0.342415
0.020000,2.984131,0.971243,3.026695,2.030662,-0.048830,0.003915,0.344645
0.020000,3.022322,0.984999,3.067289,2.029684,-0.048891,-0.003031,0.346804
0.020000,3.060466,0.998830,3.107863,2.028708,-0.048801,0.004503,0.348892
0.020000,3.098564,1.012733,3.148418,2.027737,-0.048587,0.010688,0.350910
0.020000,3.136615,1.026704,3.188953,2.026767,-0.048509,0.003907,0.352856
0.020000,3.174622,1.040742,3.229469,2.025793,-0.048686,-0.008856,0.354732
0.020000,3.212584,1.054842,3.269965,2.024826,-0.048341,0.017227,0.356538
0.020000,3.250503,1.069003,3.310443,2.023861,-0.048264,0.003851,0.358273
0.020000,3.288380,1.083222,3.350900,2.022894,-0.048319,-0.002723,0.359938
0.020000,3.326216,1.097495,3.391339,2.021930,-0.048217,0.005079,0.361533
0.020000,3.364012,1.111821,3.431758,2.020969,-0.048030,0.009375,0.363058
0.020000,3.401768,1.126196,3.472159,2.020010,-0.047983,0.002334,0.364513
0.020000,3.439485,1.140618,3.512540,2.019048,-0.048082,-0.004946,0.365899
0.020000,3.477166,1.155084,3.552901,2.018092,-0.047811,0.013553,0.367214
0.020000,3.514810,1.169591,3.593244,2.017137,-0.047749,0.003110,0.368461
0.020000,3.552418,1.184137,3.633568,2.016180,-0.047821,-0.003633,0.369637
0.020000,3.589993,1.198720,3.673872,2.015227,-0.047672,0.007446,0.370745
0.020000,3.627533,1.213335,3.714158,2.014276,-0.047561,0.005578,0.371783
0.020000,3.665042,1.227981,3.754424,2.013325,-0.047563,-0.000131,0.372752
0.020000,3.702519,1.242656,3.794672,2.012373,-0.047557,0.000309,0.373652
0.020000,3.739965,1.257356,3.834900,2.011425,-0.047401,0.007804,0.374483
0.020000,3.777382,1.272079,3.875110,2.010478,-0.047363,0.001925,0.375245
0.020000,3.814771,1.286822,3.915300,2.009529,-0.047440,-0.003857,0.375938
0.020000,3.852133,1.301582,3.955472,2.008584,-0.047277,0.008160,0.376562
0.020000,3.889468,1.316358,3.995625,2.007639,-0.047247,0.001494,0.377118
0.020000,3.926778,1.331146,4.035759,2.006693,-0.047275,-0.001424,0.377605
0.020000,3.964064,1.345945,4.075874,2.005749,-0.047214,0.003060,0.378023
0.020000,4.001326,1.360750,4.115970,2.004806,-0.047166,0.002389,0.378372
0.020000,4.038567,1.375560,4.156047,2.003862,-0.047170,-0.000186,0.378653
0.020000,4.075786,1.390373,4.196105,2.002919,-0.047164,0.000317,0.378865
0.020000,4.112985,1.405185,4.236145,2.001977,-0.047123,0.002035,0.379009
0.020000,4.150165,1.419994,4.276166,2.001034,-0.047126,-0.000137,0.379084
0.020000,4.187326,1.434798,4.316168,2.000092,-0.047127,-0.000065,0.379091
0.020000,4.224471,1.449594,4.356151,1.999149,-0.047118,0.000460,0.379029
0.020000,4.261599,1.464379,4.396115,1.998207,-0.047133,-0.000771,0.378899
0.020000,4.298713,1.479151,4.436060,1.997264,-0.047124,0.000442,0.378700
0.020000,4.335812,1.493908,4.475986,1.996321,-0.047141,-0.000842,0.378432
0.020000,4.372899,1.508646,4.515894,1.995378,-0.047179,-0.001875,0.378096
0.020000,4.409973,1.523364,4.555783,1.994434,-0.047183,-0.000228,0.377691
0.020000,4.447036,1.538058,4.595652,1.993490,-0.047179,0.000213,0.377218
0.020000,4.484089,1.552727,4.635503,1.992545,-0.047261,-0.004113,0.376675
0.020000,4.521133,1.567367,4.675335,1.991599,-0.047303,-0.002073,0.376065
0.020000,4.558168,1.581977,4.715148,1.990655,-0.047230,0.003635,0.375385
0.020000,4.595197,1.596553,4.754943,1.989707,-0.047379,-0.007460,0.374636
0.020000,4.632219,1.611093,4.794718,1.988758,-0.047434,-0.002721,0.373819
0.020000,4.669236,1.625595,4.834474,1.987811,-0.047387,0.002334,0.372932
0.020000,4.706249,1.640056,4.874211,1.986861,-0.047483,-0.004798,0.371977
0.020000,4.743258,1.654473,4.913929,1.985909,-0.047594,-0.005568,0.370952
0.020000,4.780265,1.668844,4.953628,1.984957,-0.047605,-0.000535,0.369858
0.020000,4.817270,1.683166,4.993309,1.984005,-0.047590,0.000728,0.368694
0.020000,4.854274,1.697437,5.032970,1.983049,-0.047783,-0.009642,0.367462
0.020000,4.891279,1.711655,5.072611,1.982092,-0.047858,-0.003726,0.366159
0.020000,4.928285,1.725816,5.112234,1.981138,-0.047736,0.006088,0.364788
0.020000,4.965292,1.739918,5.151838,1.980178,-0.047978,-0.012120,0.363346
0.020000,5.002303,1.753959,5.191422,1.979216,-0.048077,-0.004914,0.361834
0.020000,5.039317,1.767935,5.230987,1.978256,-0.048042,0.001752,0.360253
0.020000,5.076336,1.781845,5.270533,1.977293,-0.048112,-0.003511,0.358602
0.020000,5.113360,1.795686,5.310060,1.976327,-0.048312,-0.010020,0.356880
0.020000,5.150390,1.809455,5.349567,1.975359,-0.048387,-0.003744,0.355088
0.020000,5.187427,1.823150,5.389055,1.974395,-0.048236,0.007566,0.353226
0.020000,5.224472,1.836767,5.428523,1.973424,-0.048558,-0.016107,0.351293
0.020000,5.261525,1.850305,5.467972,1.972451,-0.048643,-0.004277,0.349289
0.020000,5.298588,1.863761,5.507402,1.971479,-0.048584,0.002986,0.347215
0.020000,5.335661,1.877132,5.546812,1.970505,-0.048688,-0.005198,0.345070
0.020000,5.372744,1.890415,5.586202,1.969527,-0.048890,-0.010099,0.342854
0.020000,5.409838,1.903609,5.625573,1.968548,-0.048968,-0.003934,0.340567
0.020000,5.446945,1.916709,5.664925,1.967572,-0.048785,0.009160,0.338208
0.020000,5.484064,1.929715,5.704257,1.966590,-0.049127,-0.017080,0.335778
0.020000,5.521197,1.942622,5.743569,1.965606,-0.049202,-0.003751,0.333277
0.020000,5.558344,1.955429,5.782861,1.964623,-0.049160,0.002073,0.330704
0.020000,5.595506,1.968132,5.822134,1.963639,-0.049193,-0.001651,0.328060
0.020000,5.632682,1.980729,5.861387,1.962651,-0.049410,-0.010813,0.325343
0.020000,5.669875,1.993218,5.900620,1.961661,-0.049470,-0.002999,0.322555
0.020000,5.707084,2.005595,5.939834,1.960675,-0.049325,0.007207,0.319695
0.020000,5.744309,2.017859,5.979027,1.959684,-0.049532,-0.010338,0.316763
0.020000,5.781552,2.030005,6.018201,1.958691,-0.049627,-0.004759,0.313759
0.020000,5.818813,2.042033,6.057355,1.957699,-0.049637,-0.000470,0.310683
0.020000,5.856093,2.053938,6.096489,1.956709,-0.049501,0.006780,0.307534
0.020000,5.893391,2.065718,6.135604,1.955714,-0.049733,-0.011612,0.304314
0.020000,5.930708,2.077371,6.174698,1.954719,-0.049749,-0.000786,0.301021
0.020000,5.968045,2.088894,6.213772,1.953725,-0.049678,0.003565,0.297655
0.020000,6.005402,2.100284,6.252827,1.952732,-0.049650,0.001411,0.294218
0.020000,6.042779,2.111539,6.291862,1.951737,-0.049762,-0.005635,0.290708
0.020000,6.080177,2.122655,6.330877,1.950742,-0.049740,0.001102,0.287125
0.020000,6.117595,2.133630,6.369872,1.949750,-0.049613,0.006386,0.283471
0.020000,6.155035,2.144461,6.408847,1.948758,-0.049629,-0.000816,0.279744
0.020000,6.192496,2.155146,6.447802,1.947765,-0.049633,-0.000186,0.275945
0.020000,6.229979,2.165682,6.486738,1.946774,-0.049563,0.003484,0.272075
0.020000,6.267484,2.176066,6.525653,1.945786,-0.049405,0.007902,0.268132
0.020000,6.305011,2.186296,6.564549,1.944798,-0.049398,0.000360,0.264117
0.020000,6.342559,2.196368,6.603425,1.943812,-0.049304,0.004672,0.260031
0.020000,6.380130,2.206281,6.642282,1.942828,-0.049176,0.006400,0.255873
0.020000,6.417723,2.216031,6.681119,1.941848,-0.049016,0.007995,0.251644
0.020000,6.455339,2.225616,6.719936,1.940869,-0.048913,0.005175,0.247344
0.020000,6.492977,2.235033,6.758734,1.939895,-0.048735,0.008889,0.242972
0.020000,6.530637,2.244279,6.797513,1.938924,-0.048547,0.009427,0.238531
0.020000,6.568319,2.253352,6.836272,1.937956,-0.048391,0.007755,0.234019
0.020000,6.606023,2.262249,6.875012,1.936993,-0.048137,0.012724,0.229436
0.020000,6.643750,2.270968,6.913732,1.936036,-0.047882,0.012756,0.224785
0.020000,6.681498,2.279505,6.952434,1.935082,-0.047658,0.011204,0.220063
0.020000,6.719268,2.287859,6.991117,1.934134,-0.047445,0.010664,0.215273
0.020000,6.757059,2.296027,7.029781,1.933193,-0.047045,0.019973,0.210415
0.020000,6.794871,2.304006,7.068426,1.932259,-0.046702,0.017169,0.205488
0.020000,6.832705,2.311793,7.107052,1.931329,-0.046488,0.010688,0.200494
